DepartmentKey,Address,City,County,DepartmentName,DepartmentSpecialty,DepartmentType,PostalCode,CensusTract
139,,,*Unspecified,SV LAB - IMMUNOCHEMISTRY,*Unspecified,,,
140,,,*Unspecified,SV LAB - MICROBIOLOGY,*Unspecified,,,
141,1500 SW 10th Ave,TOPEKA,SHAWNEE,SV LABCORP DEPARTMENT,*Unspecified,,,
142,1500 SW 10th Ave,TOPEKA,SHAWNEE,SV LAB REFERENCE LAB,*Unspecified,,,
143,1500 SW 10th Ave,TOPEKA,SHAWNEE,SV MAYO DEPT,*Unspecified,,,
144,1500 SW 10th Ave,TOPEKA,SHAWNEE,SV MAYO SUPERIOR SHELL,*Unspecified,,,
145,1500 SW 10th Ave,TOPEKA,SHAWNEE,SV MAYO JACKSONVILLE SHELL,*Unspecified,,,
146,1500 SW 10th Ave,TOPEKA,SHAWNEE,SV MAYO NEW ENGLAND SHELL,*Unspecified,,,
147,2260 SW 3rd Street Suite 002,Topeka,SHAWNEE,SV SDS X-RAY,Radiology,HOD,66606,20177000500.0
148,1414 SW 8th Ave,Topeka,SHAWNEE,CO CANCER CENTER,Oncology,HOD,66606,20177000500.0
149,1414 SW 8th,TOPEKA,*Unspecified,CANCER CENTER XRAY,Radiology,,66606,20177000500.0
150,1414 SW 8th,TOPEKA,*Unspecified,CANCER CENTER LAB,Lab,,66606,20177000500.0
151,1414 SW 8th Ave,Topeka,SHAWNEE,RADIATION THERAPY,Radiation Therapy,HOD,66606,20177000500.0
152,1414 SW 8th Ave,Topeka,SHAWNEE,CANCER CENTER PET/CT,Radiology,HOD,66606,20177000500.0
153,1500 SW 10th Ave 340B00935100SV,Topeka,SHAWNEE,CHEMOTHERAPY/INFUSION,*Unspecified,HOD,66604,20177003603.0
154,731 SW Mulvane St,Topeka,SHAWNEE,SV IMAGING CENTER,Radiology,HOD,66604,20177003603.0
155,901 SW Garfield Ave,Topeka,SHAWNEE,CANCER CENTER,*Unspecified,HOD,66606,20177000500.0
156,,Topeka,SHAWNEE,MRI CENTER,*Unspecified,HOD,,
157,1414 SW 8th Ave,Topeka,*Unspecified,CC HEMATOLOGY ONCOLOGY,Hematology and Oncology,,66606,20177000500.0
158,920 SW Lane St,Topeka,*Unspecified,EXCELLENT SURGERY,*Unspecified,,66606,20177000500.0
159,920 SW Lane St 340B00935100SV,Topeka,SHAWNEE,EXCELLENT SURG OP,*Unspecified,,66606,20177000500.0
160,1414 SW 8th Ave 340B00935100SV,Topeka,*Unspecified,CC CHEMOTHERAPY INFUSION,Hematology and Oncology,,66606,20177000500.0
161,,,*Unspecified,CC ONCOLOGY PHARMACY,*Unspecified,,,
162,1414 SW 8th Ave,Topeka,SHAWNEE,CO CANCER RADIATION,Radiation Oncology,,66606-1535,
163,1414 SW 8th Ave,TOPEKA,SHAWNEE,ONC PALLIATIVE MED,Palliative Medicine,,66606,20177000500.0
164,823 SW Mulvane St  Ste 275,Topeka,SHAWNEE,UROLOGY CLINIC,*Unspecified,HOD,66606,20177000500.0
165,1414 SW 8th Ave,Topeka,SHAWNEE,INFUSION CENTER,Infusion Therapy,HOD,66606,20177000500.0
166,901 SW Garfield Ave,Topeka,SHAWNEE,TREATMENT ROOM,*Unspecified,HOD,66606,20177000500.0
167,211 East Main St,CARBONDALE,OSAGE,ZZCARB OUTPATIENT THERAPY,Physical Therapy,HOD,66414,20139010100.0
168,211 East Main St,CARBONDALE,OSAGE,CARBONDALE ORTHOPEDICS,Orthopedic Surgery,,66414,20139010100.0
169,211 East Main St,CARBONDALE,OSAGE,CARBONDALE ULTRASOUND,Radiology,,66414,20139010100.0
170,211 East Main St,CARBONDALE,OSAGE,CARBONDALE X-RAY,Radiology,,66414,20139010100.0
171,211 East Main St,CARBONDALE,OSAGE,CARBONDALE LAB,Lab,,66414,20139010100.0
172,211 East Main St,CARBONDALE,OSAGE,CARBONDALE CLINIC,Family Medicine,,66414,20139010100.0
173,211 East Main St,CARBONDALE,OSAGE,CARBONDALE LAB EMP IH,Lab,,66414,20139010100.0
174,211 East Main St,CARBONDALE,OSAGE,CARBONDALE OUTPATIENT THERAPY,Physical Therapy,,66414,20139010100.0
175,,Topeka,SHAWNEE,CO CLINIC,*Unspecified,,,
176,901 SW Garfield Ave,Topeka,SHAWNEE,MAIN CAMPUS GENERAL LAB,Lab,,66606,20177000500.0
177,901 SW Garfield Ave,Topeka,SHAWNEE,MAIN CAMPUS X-RAY,Radiology,,66606,20177000500.0
178,901 SW Garfield Ave,Topeka,SHAWNEE,MAIN CAMPUS ULTRASOUND,Radiology,,66606,20177000500.0
179,901 SW Garfield Ave,Topeka,SHAWNEE,MAIN CAMPUS NEUROLAB,Lab,,66606,20177000500.0
180,901 SW Garfield Ave,Topeka,SHAWNEE,MAIN CAMPUS PULMONARY,Pulmonology,,66606,20177000500.0
181,1500 SW 10th Ave,Topeka,SHAWNEE,MAIN CAMPUS NUCLEAR MEDICINE,Nuclear Medicine,,66604,20177003603.0
182,901 SW Garfield Ave,Topeka,SHAWNEE,MAIN CAMPUS RADIOLOGY,Radiology,,66606,20177000500.0
183,1500 SW 10th Ave,Topeka,SHAWNEE,MAIN CAMPUS HEALTH CONNECT,*Unspecified,,66606,20177000500.0
184,800 SW Lincoln St,Topeka,SHAWNEE,MAIN CAMPUS LINCOLN CENTER LAB,Lab,,66606,20177000500.0
185,2800 SW Urish Rd,Topeka,SHAWNEE,MAIN CAMPUS LINCOLN CNTR WEST LAB,Lab,,66614,20177003603.0
186,901 SW Garfield,Topeka,SHAWNEE,MAIN CAMPUS OP LAB,Lab,,66606,20177000500.0
187,1500 SW 10th Ave 1st Floor North Tower,Topeka,SHAWNEE,MAIN CAMPUS LAB EMP IH,Lab,,66604,20177003603.0
188,,,*Unspecified,SV BLOODBANK DEPT,*Unspecified,,,
189,,,*Unspecified,SV MAYO DEPT,*Unspecified,,,
190,701 Missouri Ave,Alma,WABAUNSEE,ALMA CLINIC,Family Medicine,,66419,20087020200.0
191,701 Missouri Ave,Alma,WABAUNSEE,ALMA X-RAY,*Unspecified,,66419,20087020200.0
192,701 Missouri Ave,Alma,WABAUNSEE,ALMA LAB,Lab,,66419,20087020200.0
193,2909 SE Walnut Dr,Topeka,SHAWNEE,CROCO CLINIC,Internal Medicine,,66605,20177003001.0
194,2909 SE Walnut Dr,Topeka,SHAWNEE,CROCO XRAY,Radiology,,66605,20177003001.0
195,2909 SE Walnut Dr,Topeka,SHAWNEE,CROCO EXPRESS CARE,Urgent Care,Normal,66605,20177003001.0
196,2909 SE Walnut Dr,Topeka,SHAWNEE,CROCO LAB,Lab,,66605-2189,
197,2909 SE Walnut Dr,Topeka,SHAWNEE,CROCO EXPRESS LAB,Lab,,66605-2189,
198,2909 SE Walnut Dr,Topeka,SHAWNEE,CROCO LAB EMP IH,Lab,,66605-2189,
199,720 SW Lane St,Topeka,SHAWNEE,DHC GASTROENTEROLOGY,Gastroenterology,,66606,20177000500.0
200,720 SW Lane St,Topeka,SHAWNEE,DHC AMBULATORY SURGICAL CENTER,Gastroenterology,HOD,66606,20177000500.0
201,720 SW Lane St,Topeka,SHAWNEE,DHC LAB,Lab,,66606,20177000500.0
202,720 SW Lane St,Topeka,SHAWNEE,DHC ULTRASOUND,Radiology,,66606,20177000500.0
203,6650 SW Mission Valley Dr,Topeka,SHAWNEE,MISSION DERMATOLOGY,Dermatology,,66614,20177003603.0
204,6650 SW Mission Valley Dr,Topeka,SHAWNEE,MISSION DERMATOLOGY LAB,Lab,,66614,20177003603.0
205,1979 Milky Way,VERONA,*Unspecified,EMH EMERGENCY,Emergency Medicine,ED,53593,55025012700.0
206,830 SW Mulvane St,Topeka,SHAWNEE,CARDIOTHORACIC SURGERY,Cardiothoracic Surgery,,66606,20177000500.0
207,830 SW Mulvane St,Topeka,SHAWNEE,CTS X-RAY,Radiology,,66606,20177000500.0
208,830 SW Mulvane St,Topeka,SHAWNEE,CTS LAB,Lab,,66606,20177000500.0
209,1979 Milky Way,VERONA,*Unspecified,EMH LABOR & DELIVERY,Obstetrics and Gynecology,L&D,53593,55025012700.0
210,1979 Milky Way,VERONA,*Unspecified,EMH MED SURG,*Unspecified,,53593,55025012700.0
211,1979 Milky Way,VERONA,*Unspecified,EMH OBSERVATION,*Unspecified,,53593,55025012700.0
212,1979 Milky Way,VERONA,*Unspecified,EMH HOSPITAL LAB,Lab,HOD,53593,55025012700.0
213,1979 Milky Way,VERONA,*Unspecified,EMH GASTROENTEROLOGY,Gastroenterology,HOD,53593,55025012700.0
214,1979 Milky Way,VERONA,*Unspecified,EMH ANATOMIC PATHOLOGY,Lab,HOD,53593,55025012700.0
215,1979 Milky Way,VERONA,*Unspecified,EMH ADMITTING,*Unspecified,,53593,55025012700.0
216,1979 Milky Way,VERONA,*Unspecified,EMH IP PHARMACY,Pharmacy,,53593,55025012700.0
217,1979 Milky Way,VERONA,*Unspecified,EMH PRE-PROCEDURE,*Unspecified,OR,53593,55025012700.0
218,1979 Milky Way,VERONA,*Unspecified,EMH MAIN OR,*Unspecified,OR,53593,55025012700.0
219,1979 Milky Way,VERONA,*Unspecified,EMH RECOVERY,*Unspecified,OR,53593,55025012700.0
220,1979 Milky Way,VERONA,*Unspecified,EMH HEALTH INFO MGMT,*Unspecified,,53593,55025012700.0
221,1979 Milky Way,VERONA,*Unspecified,EMH PHASE II,*Unspecified,OR,53593,55025012700.0
222,1979 Milky Way,VERONA,*Unspecified,EMH PHYSICAL THERAPY,Physical Therapy,HOD,53593,55025012700.0
223,1979 Milky Way,VERONA,*Unspecified,EMH PEDIATRICS,Pediatrics,,53593,55025012700.0
224,1979 Milky Way,VERONA,*Unspecified,EMH ICU,Intensive Care,ICU,53593,55025012700.0
225,1979 Milky Way,VERONA,*Unspecified,EMH ANTEPARTUM,Obstetrics,L&D,53593,55025012700.0
226,1979 Milky Way,VERONA,*Unspecified,EMH POSTPARTUM,*Unspecified,L&D,53593,55025012700.0
227,1979 Milky Way,VERONA,*Unspecified,EMH NURSERY,*Unspecified,,53593,55025012700.0
228,1979 Milky Way,VERONA,*Unspecified,EMH PSYCHIATRY,Psychiatry,,53593,55025012700.0
229,1979 Milky Way,VERONA,*Unspecified,EMH NEONATAL ICU,Neonatology,,53593,55025012700.0
230,1979 Milky Way,VERONA,*Unspecified,EHS URGENT CARE,Urgent Care,ED,53593,55025012700.0
231,1979 Milky Way,VERONA,*Unspecified,EMH L&D PROCEDURE,Obstetrics,HOD,53593,55025012700.0
232,1979 Milky Way,VERONA,*Unspecified,EMH CARDIAC ICU,Cardiac Intensive Care,ICU,53593,55025012700.0
233,1979 Milky Way,VERONA,*Unspecified,EMH GENERAL SURGERY,General Surgery,,53593,55025012700.0
234,1979 Milky Way,VERONA,*Unspecified,EMH NEURO ICU,Neurological Intensive Care,ICU,53593,55025012700.0
235,1979 Milky Way,VERONA,*Unspecified,EMH PEDIATRIC ICU,Pediatric Intensive Care,ICU,53593,55025012700.0
236,1979 Milky Way,VERONA,*Unspecified,EMH SURGICAL ICU,Surgical Intensive Care,ICU,53593,55025012700.0
237,1979 Milky Way,VERONA,*Unspecified,EMH TRANSPLANT,Transplant,HOD,53593,55025012700.0
238,1979 Milky Way,VERONA,*Unspecified,EMH PULMONARY FUNC LAB,Pulmonology,HOD,53593,55025012700.0
239,1979 Milky Way,VERONA,*Unspecified,EMH RESP THERAPY,Respiratory Therapy,,53593,55025012700.0
240,1979 Milky Way,VERONA,*Unspecified,EMH SLEEP LAB,Sleep Medicine,HOD,53593,55025012700.0
241,1979 Milky Way,VERONA,*Unspecified,EMH OCC THERAPY,Occupational Therapy,HOD,53593,55025012700.0
242,1979 Milky Way,VERONA,*Unspecified,EMH SPEECH PATHOLOGY,Speech Therapy,HOD,53593,55025012700.0
243,1979 Milky Way,VERONA,*Unspecified,EMH DIALYSIS,Nephrology,HOD,53593,55025012700.0
244,1979 Milky Way,VERONA,*Unspecified,EMH PHYS MED & REHAB,Physical Medicine and Rehabilitation,HOD,53593,55025012700.0
245,1979 Milky Way,VERONA,*Unspecified,EMH ONCOLOGY,Oncology,HOD,53593,55025012700.0
246,1979 Milky Way,VERONA,*Unspecified,EMH PERIOP SERVICES,*Unspecified,OR,53593,55025012700.0
247,1979 Milky Way,VERONA,*Unspecified,EMH PSY DAY TREATMENT,Psychiatry,HOD,53593,55025012700.0
248,1979 Milky Way,VERONA,*Unspecified,EMH PED GASTROENTEROLOGY,Pediatric Gastroenterology,,53593,55025012700.0
249,1979 Milky Way,VERONA,*Unspecified,EMH PED GENERAL SURGERY,Pediatric Surgery,,53593,55025012700.0
250,1979 Milky Way,VERONA,*Unspecified,EMH PED TRANSPLANT,Transplant,,53593,55025012700.0
251,1979 Milky Way,VERONA,*Unspecified,EMH PED URGENT CARE,Pediatric Emergency Medicine,,53593,55025012700.0
